Frame,tanxy_x,tanxy_y
1,350,31
2,344,163
3,28,56
4,87,162
5,107,51
6,108,51
7,284,153
8,86,153
12,87,56
13,249,37
14,255,157
15,244,32
16,224,25
17,86,40
18,224,32
19,224,32
20,224,32
21,91,32
22,230,35
23,299,17
24,56,143
27,228,35
28,81,51
29,83,41
30,82,148
31,96,148
32,87,148
33,82,142
34,97,139
35,102,139
36,102,148
37,112,147
38,145,152
39,103,138
40,204,144
41,244,41
42,82,158
43,87,143
44,88,139
45,91,147
46,106,147
47,106,147
48,92,137
49,209,41
50,215,47
51,98,143
52,233,41
53,233,35
54,220,152
55,88,152
56,106,153
57,91,137
58,103,143
59,214,137
60,106,137
61,199,47
62,205,41
63,214,36
64,229,26
65,245,41
66,233,41
67,253,41
68,253,31
69,278,36
70,294,31
71,249,47
72,229,128
73,229,50
74,230,50
75,224,47
76,232,51
77,228,45
78,239,45
79,228,45
