Frame,tanxy_x,tanxy_y
1,229,-3
2,249,-3
3,229,-3
4,223,-3
5,249,3
6,243,-3
7,243,-3
8,243,-3
9,244,-3
10,258,3
11,271,-3
12,265,-4
13,273,-4
14,276,11
15,273,-3
16,259,3
17,278,2
18,302,2
19,249,-3
20,243,-3
21,235,3
22,243,-3
23,243,2
24,234,-3
25,249,-3
26,244,3
27,243,-3
28,228,2
29,228,3
30,235,-3
31,234,-3
32,234,3
33,219,2
34,57,1
36,235,-3
37,249,-3
38,234,3
39,235,-3
40,249,3
41,249,-3
42,243,2
43,249,3
44,244,-4
45,243,2
46,238,2
48,288,7
49,243,-3
50,235,-3
51,219,-3
52,234,3
53,249,-3
54,214,2
55,223,-3
56,225,-3
57,235,2
58,248,2
59,215,-7
60,235,-3
61,235,-3
62,244,-3
63,229,-3
64,220,-3
65,229,-3
66,223,-3
67,243,3
68,235,-3
69,234,3
70,214,2
71,228,3
72,229,-3
73,229,3
74,235,2
75,239,-3
76,223,-3
77,205,2
78,240,-18
79,244,2
80,243,-3
81,234,2
82,235,3
83,235,-3
84,229,-3
85,249,2
86,243,2
87,243,2
88,234,-3
89,248,-3
90,229,3
91,229,3
92,229,3
94,234,7
95,229,6
96,234,-3
97,223,3
98,235,6
99,235,3
100,229,-3
101,224,-3
102,243,3
103,229,-9
104,243,3
105,243,3
106,229,6
107,235,-3
108,235,-3
109,213,3
110,240,3
111,235,3
112,223,-3
113,229,-3
114,235,-3
115,224,-3
116,248,-3
117,214,2
118,249,3
119,229,3
120,229,3
121,229,-3
122,243,-3
123,229,-3
124,249,-3
125,229,-3
126,229,-3
127,240,-3
128,234,-3
129,234,-3
130,235,-3
131,235,-3
132,243,3
133,234,-3
134,235,-3
135,235,-3
136,229,-3
137,244,-3
138,243,-3
139,249,-3
140,229,-3
141,235,-3
142,229,-3
143,235,3
144,223,3
145,235,-3
146,229,3
147,243,-3
148,249,3
149,235,3
150,223,3
151,235,3
152,243,3
153,238,3
154,229,3
155,229,-3
156,220,-3
157,223,-3
158,235,3
159,234,3
160,235,-3
161,223,3
162,229,-3
163,243,2
164,229,2
165,223,-3
166,240,3
167,219,3
168,229,3
170,243,6
171,235,6
172,229,6
173,229,-3
174,243,3
175,223,3
176,229,-3
177,238,12
178,244,3
179,229,-3
180,229,-3
181,235,-3
182,235,3
183,229,3
184,234,6
185,229,3
186,235,3
187,205,-9
188,235,3
189,230,3
190,229,3
191,243,-3
192,234,3
193,229,-3
194,235,2
195,243,-3
196,235,6
197,243,3
198,220,3
199,229,3
200,235,-3
201,235,3
202,235,3
203,220,-3
204,238,-3
205,235,3
206,238,3
207,238,-3
208,229,-3
209,249,3
210,235,3
211,243,12
212,261,3
213,235,-3
214,235,3
215,229,3
216,234,3
217,235,3
218,244,-3
219,234,-3
220,243,3
221,229,3
222,238,3
223,235,3
224,199,2
225,229,6
226,223,3
228,238,1
229,229,6
230,238,3
231,234,3
232,243,3
233,229,3
234,235,3
235,238,3
236,235,-3
237,235,3
238,229,3
239,214,3
240,235,6
241,229,3
242,220,-3
243,229,-3
244,223,6
245,235,3
246,229,11
247,249,-3
248,228,-3
249,229,-3
250,235,3
251,214,3
252,235,-3
253,235,-3
254,220,-3
255,243,-3
256,235,3
257,234,3
258,234,3
259,208,-3
260,223,6
261,229,3
262,234,-3
263,229,-3
264,214,3
265,229,-3
266,229,-3
267,243,-3
268,235,-3
269,229,3
270,229,-3
271,243,-3
272,229,-3
273,229,3
274,249,3
275,243,-3
276,229,-3
277,240,-3
278,238,-3
279,240,2
280,249,3
281,248,-3
282,235,-3
283,169,13
284,244,-3
285,235,3
286,235,3
287,229,-3
288,229,-3
289,249,-3
290,234,-3
291,229,-3
292,229,-3
293,229,-3
294,229,-3
295,229,2
296,249,-3
297,234,-3
298,243,-3
299,249,-3
300,235,3
301,229,-3
302,214,-3
303,257,3
304,229,3
305,229,-3
306,243,3
307,243,3
308,223,3
309,235,3
310,223,3
311,229,-3
312,229,3
313,223,3
314,235,3
315,229,3
316,228,3
317,235,3
318,229,-3
319,240,-3
320,243,3
321,240,3
322,223,3
323,248,3
324,234,3
325,234,3
326,229,3
327,223,3
328,235,-3
329,249,6
330,214,-3
331,229,3
332,243,-3
333,243,-3
334,235,3
335,235,3
336,229,3
337,240,3
338,234,3
339,243,3
340,243,-3
341,240,3
342,220,3
343,235,-3
344,229,3
345,229,3
346,243,3
347,235,3
348,229,3
349,240,-3
350,249,3
351,248,3
352,234,3
353,234,2
354,243,3
355,229,-3
356,243,3
357,243,2
358,249,3
359,243,3
360,235,-3
361,235,2
362,223,-3
363,235,6
364,235,3
365,229,3
366,234,-3
367,249,-3
368,229,-3
369,249,2
370,235,2
371,234,2
372,243,-3
373,220,2
374,224,-3
375,229,3
377,240,7
378,205,-3
379,229,3
380,235,3
381,229,-3
383,-74,22
384,235,6
385,248,3
386,243,-3
387,229,3
388,249,3
389,229,3
390,235,3
391,219,3
392,229,3
393,234,3
394,214,-3
395,243,3
396,235,3
397,234,-3
398,229,6
399,199,-7
400,220,3
401,249,3
402,249,3
403,243,3
404,254,-3
405,249,3
406,235,-3
407,220,3
408,243,-3
409,223,-3
410,243,3
411,219,3
412,234,3
413,235,-3
414,235,-3
415,240,-3
416,240,3
417,243,3
418,249,3
419,234,3
420,223,3
421,235,3
422,228,3
423,235,3
424,234,-3
425,243,-3
426,225,3
427,234,3
428,229,3
429,243,6
430,234,-3
431,235,-3
432,229,-3
433,235,3
434,234,-3
435,235,3
436,234,-3
437,249,3
438,243,-3
439,249,3
440,248,-3
441,243,-3
442,238,-3
443,243,3
444,234,11
445,234,-3
446,240,3
447,246,3
448,235,3
449,243,3
450,229,3
451,234,3
452,234,-3
453,249,6
454,225,3
455,229,6
456,243,3
457,220,-3
458,235,3
459,249,6
460,249,3
461,225,3
462,234,3
463,234,3
464,243,6
465,234,-3
466,219,-3
467,235,3
468,243,-3
469,243,3
470,235,-3
471,235,3
472,219,-3
473,234,3
474,240,-3
475,243,-3
476,244,6
477,235,3
478,235,6
479,235,12
480,249,-3
481,235,-3
482,254,-3
483,223,3
484,234,3
485,229,3
486,234,-3
487,254,-3
488,229,-3
489,235,-3
490,240,3
491,224,3
492,229,-3
493,214,-3
494,243,3
495,249,-3
496,240,-3
497,229,-3
498,229,2
499,214,2
500,205,2
501,208,2
