Frame,tanxy_x,tanxy_y
1,239,-4
2,248,2
3,263,2
4,233,-4
5,240,-4
6,254,-4
7,284,-4
8,264,-4
9,287,-4
10,278,-4
11,279,-4
12,270,-4
13,58,-2
14,78,7
15,73,-2
16,219,-2
17,236,-7
18,87,7
19,81,1
20,90,-8
21,81,-8
22,82,-2
23,73,-8
24,81,-2
25,73,-2
26,73,7
27,81,7
28,105,7
29,75,6
30,81,1
31,189,1
32,81,-2
33,82,-2
34,72,-2
35,81,-2
36,81,6
37,75,-2
38,73,1
39,73,-7
40,67,-2
41,199,-2
42,67,-2
43,183,13
44,82,8
45,87,1
46,81,7
47,78,-4
48,218,-8
49,86,7
50,189,7
51,87,-2
52,82,7
53,81,-2
54,61,-2
55,81,-7
56,81,1
57,66,1
58,81,-7
59,203,1
60,81,7
61,78,7
62,78,7
63,73,1
64,78,1
65,72,7
66,67,2
67,72,7
68,66,7
69,92,1
70,72,1
71,78,7
72,78,-2
73,86,1
74,81,-2
75,87,7
76,72,1
77,72,1
78,81,7
79,82,1
80,205,1
81,67,7
82,78,1
83,102,13
84,81,-3
85,117,7
86,81,1
87,67,1
88,72,7
89,77,1
90,73,7
91,73,1
92,87,7
93,86,7
94,81,7
95,102,1
96,73,1
97,72,1
98,86,7
99,87,1
100,72,7
101,73,2
102,72,1
103,72,1
104,72,-2
105,66,1
106,81,7
107,78,7
108,81,-2
109,67,1
110,92,7
111,78,1
112,81,7
113,67,7
114,83,7
115,87,7
116,72,7
117,73,7
118,81,7
119,87,1
120,87,16
121,81,-8
122,111,7
123,78,1
124,72,7
125,67,1
126,87,1
127,67,1
128,78,7
129,67,1
130,86,-2
131,78,7
132,72,-2
133,78,7
134,78,1
135,78,1
136,207,-8
137,78,7
138,72,1
139,78,1
140,73,7
141,72,18
142,81,17
143,81,1
144,72,1
145,107,7
146,78,1
147,73,-2
148,66,1
149,78,7
150,78,-2
151,102,7
152,78,1
153,213,-2
154,72,1
155,78,7
156,102,7
157,72,-2
158,73,1
159,78,1
160,83,7
161,78,7
162,72,7
163,66,-2
164,72,7
165,72,7
166,68,17
167,72,8
168,72,7
169,86,1
170,72,7
171,77,1
172,78,7
173,77,7
174,71,1
175,72,1
176,78,7
177,86,7
178,86,1
179,78,7
180,93,7
181,66,7
182,72,1
183,78,7
184,78,7
185,78,1
186,71,7
187,66,2
188,78,7
189,72,1
190,116,16
191,72,-2
192,72,7
193,72,7
194,72,7
195,78,7
196,86,7
197,92,7
198,66,7
199,78,7
200,78,-2
201,78,1
202,81,7
203,71,1
204,72,-2
205,78,1
206,72,-2
207,77,-2
208,66,1
209,108,7
210,80,-2
211,66,-2
212,78,-2
213,77,1
214,78,8
215,108,-2
216,91,23
217,42,8
218,66,1
219,78,7
220,72,7
221,72,7
222,72,7
223,116,7
224,72,1
225,66,7
226,73,7
227,86,1
228,72,7
229,81,1
230,72,1
231,72,1
232,80,7
233,72,7
234,81,7
235,72,7
236,81,7
237,67,7
238,78,7
239,66,7
240,81,7
241,77,7
242,81,7
243,108,7
244,86,7
245,86,7
246,71,7
247,73,7
248,72,7
249,108,7
250,72,7
251,86,7
252,78,7
253,86,1
254,72,7
255,77,7
256,72,7
257,81,1
258,92,7
259,92,7
260,81,1
261,72,7
262,86,1
263,78,7
264,108,7
265,67,7
266,72,7
267,81,7
268,67,7
269,96,7
270,71,7
271,72,7
272,72,7
273,72,7
274,87,22
275,72,17
276,86,7
277,78,7
278,236,-8
279,71,7
280,72,7
281,72,7
282,78,-2
283,92,7
284,72,1
285,77,1
286,108,7
287,77,1
288,66,1
289,72,7
290,72,7
291,108,7
292,78,7
293,78,7
294,71,1
295,66,-2
296,67,-2
297,78,7
298,77,7
299,72,7
300,73,-2
301,67,7
302,67,1
303,72,7
304,73,13
305,72,7
306,72,1
307,72,7
308,72,7
309,73,1
310,61,7
311,78,7
312,86,7
313,87,7
314,72,7
315,67,1
316,81,1
317,72,1
318,78,7
319,86,7
320,22,-4
321,81,1
322,72,7
323,81,1
324,78,7
325,87,7
326,81,7
327,92,7
328,22,-13
329,78,1
330,72,7
331,72,1
332,86,7
333,81,7
335,198,12
336,72,8
337,78,7
338,80,7
339,80,7
340,87,7
341,87,7
342,66,1
343,80,1
344,72,1
345,72,1
346,80,1
347,87,7
348,67,2
349,87,7
350,87,1
351,78,1
352,81,1
353,81,7
354,81,7
355,72,7
356,73,1
357,87,1
358,72,7
359,219,1
360,81,1
361,98,7
362,81,7
364,78,17
365,80,8
366,67,7
367,16,-4
368,219,12
369,225,12
370,219,11
371,98,17
372,72,16
373,67,7
374,72,7
375,189,1
376,87,-8
377,72,7
378,63,7
379,80,7
380,92,-2
381,61,-8
382,72,7
383,209,1
384,73,1
385,72,2
386,72,7
387,67,7
388,67,1
389,81,1
390,81,1
391,78,7
392,72,13
393,75,13
394,203,7
395,72,7
396,81,13
397,66,7
398,81,7
399,72,1
400,72,1
401,72,7
402,86,7
403,80,7
404,87,1
405,73,7
406,66,7
407,68,13
408,93,22
409,78,17
410,72,2
411,66,7
412,80,7
413,72,7
414,72,7
415,72,7
416,92,7
417,93,7
418,73,7
419,72,7
420,75,7
421,81,13
422,81,1
423,73,7
424,72,7
425,81,7
426,66,7
427,73,7
428,81,7
429,72,7
430,72,7
431,81,1
432,72,7
433,72,7
434,78,7
435,86,7
436,194,2
437,67,7
438,73,7
439,78,7
440,72,7
441,72,7
442,81,7
443,72,7
444,81,2
445,81,13
446,95,7
447,81,7
448,103,7
449,81,7
450,72,7
451,72,-2
452,67,13
453,96,7
454,73,1
455,87,1
456,72,7
457,81,7
458,87,1
459,87,1
460,81,13
461,82,7
462,203,1
463,96,17
464,87,17
465,72,7
466,67,16
467,78,16
468,73,1
469,81,7
470,80,7
471,107,7
472,72,16
473,78,1
474,81,7
475,72,13
476,87,16
477,78,7
478,72,13
479,81,7
480,72,7
481,72,-2
482,72,7
483,66,7
484,78,7
485,67,7
486,87,7
487,81,7
488,72,7
489,72,7
490,72,7
491,88,1
492,81,7
493,86,7
494,96,7
495,78,7
496,78,7
497,81,7
498,78,7
499,7,-3
500,78,7
501,86,7
502,81,7
503,87,7
504,22,-4
505,67,16
506,72,7
507,81,7
508,98,12
509,195,-3
510,78,11
511,67,8
512,67,7
513,87,7
514,72,7
515,72,7
516,67,1
517,75,7
518,78,13
519,86,7
520,80,16
521,81,7
522,72,-2
523,81,7
524,67,7
525,67,7
526,78,7
527,73,7
528,67,7
529,72,7
530,73,7
531,75,7
532,67,7
533,81,7
534,66,7
535,72,7
536,72,7
537,72,2
538,98,13
539,75,7
540,67,7
541,67,7
542,72,7
543,72,7
544,72,7
545,67,17
546,118,13
547,87,8
548,72,8
549,73,16
550,72,7
551,72,7
552,81,7
553,66,1
554,72,2
555,61,7
556,73,16
557,73,7
558,198,7
559,204,2
560,81,8
561,72,2
562,87,8
563,72,7
565,189,12
566,67,8
567,108,8
568,87,16
569,75,7
570,82,16
571,81,7
572,87,7
573,73,2
574,228,12
575,198,17
576,213,2
577,199,2
578,204,2
579,204,1
580,219,7
