Frame,tanxy_x,tanxy_y
3,249,2
4,238,-3
5,220,-3
6,258,2
7,258,2
8,296,2
9,287,-4
10,273,-7
11,287,2
12,284,-7
13,199,-3
14,190,3
15,82,3
16,213,-3
17,205,3
18,210,3
19,67,-9
20,81,3
21,88,-3
22,218,3
23,82,3
24,87,3
25,93,3
26,88,3
27,82,2
28,81,3
29,82,-9
30,210,3
31,87,3
32,73,3
33,87,11
34,218,-3
35,97,3
36,81,3
37,87,2
38,87,6
39,87,3
40,92,-3
41,-121,-19
43,88,1
44,92,6
45,87,12
46,72,11
47,93,3
48,87,3
49,204,-3
50,87,12
51,92,3
52,82,3
53,199,12
54,190,-9
55,92,3
56,87,3
57,73,3
58,97,12
59,198,-3
60,219,3
61,81,12
62,93,12
63,87,12
64,112,3
65,96,6
66,81,3
67,78,11
68,82,12
69,73,11
70,82,12
71,78,3
72,87,12
73,72,11
74,123,3
75,209,3
76,78,3
77,86,12
78,72,2
79,77,11
80,71,3
81,203,3
82,203,3
83,229,2
84,213,-7
85,219,2
86,97,22
87,108,64
88,107,78
89,209,-3
90,78,12
91,195,-9
92,78,11
93,209,3
94,86,11
95,189,6
96,118,12
97,209,3
98,81,3
99,92,12
100,72,3
101,123,12
102,87,11
103,98,17
104,189,12
105,92,11
106,117,11
107,117,6
108,87,12
109,117,84
110,87,12
111,72,11
112,86,12
113,78,12
114,78,12
115,208,11
116,195,6
117,195,2
118,77,11
119,72,3
120,72,12
121,204,2
122,117,12
123,92,12
124,93,12
125,72,18
127,57,22
128,116,84
129,78,12
130,126,12
131,78,12
132,215,12
133,117,12
134,72,12
135,117,6
136,195,-3
137,92,3
138,132,12
139,117,12
140,81,3
141,117,12
142,87,11
143,117,17
144,81,11
145,123,3
146,209,-3
147,81,8
148,87,12
149,72,17
150,78,12
151,132,3
152,117,12
153,195,-9
154,214,12
155,198,3
156,108,12
157,102,12
158,215,6
159,209,12
160,47,18
161,126,18
162,78,12
163,126,12
164,210,12
165,122,12
166,81,12
167,81,12
168,112,12
169,122,12
170,72,12
171,81,12
172,87,12
173,123,-3
174,123,12
175,126,12
176,117,3
177,123,12
178,123,12
179,126,12
180,101,18
181,195,6
182,117,12
183,117,11
184,123,12
185,123,18
186,87,18
187,78,17
188,87,3
189,108,78
190,77,12
191,122,12
192,81,12
193,117,12
194,123,12
195,87,3
196,203,6
197,126,12
198,123,12
199,195,-3
200,189,-9
201,122,11
202,123,6
203,132,12
204,195,6
205,118,12
206,108,84
207,92,12
208,131,6
209,86,18
210,204,-9
211,209,3
212,81,12
213,78,6
214,131,3
215,93,3
216,209,3
217,111,6
218,210,12
219,117,12
220,123,12
221,117,18
222,209,6
223,62,12
224,87,18
225,203,3
226,80,12
227,80,12
228,72,12
229,117,12
230,95,6
231,111,12
232,72,12
233,132,3
234,72,12
235,209,-3
236,78,12
237,93,12
238,189,12
239,117,18
240,86,11
241,87,3
242,123,12
243,93,84
244,123,12
245,195,8
246,131,12
247,86,11
248,195,2
249,209,3
251,98,28
252,72,12
253,188,1
254,117,12
255,126,12
256,123,6
257,204,-3
258,131,12
259,123,21
260,126,18
261,36,18
262,101,12
263,138,6
264,209,18
265,204,3
266,123,12
267,117,12
268,78,12
269,132,3
270,78,12
271,203,6
272,122,12
273,78,12
274,86,12
275,126,12
276,126,6
277,123,3
278,73,21
279,131,12
280,86,12
281,209,12
282,126,18
283,117,12
284,194,12
285,81,12
286,47,12
287,132,12
288,132,21
289,137,12
290,123,12
291,132,18
292,117,12
293,78,12
294,122,12
295,117,12
296,108,12
297,188,12
298,117,12
299,123,12
300,123,12
301,194,6
302,131,12
303,72,12
304,86,6
305,78,12
306,123,12
307,194,12
308,78,12
309,132,12
310,87,12
311,209,6
312,117,12
313,87,12
314,92,12
315,87,6
316,86,12
317,122,12
318,36,18
319,195,6
320,131,12
321,205,12
322,189,12
323,101,12
324,195,6
325,123,12
326,131,12
327,78,6
328,194,-3
329,47,12
330,47,3
331,51,18
332,137,12
333,189,6
334,203,6
335,131,12
336,195,6
337,205,12
338,92,12
339,137,12
340,126,12
341,108,78
342,87,6
343,194,12
344,203,12
345,126,12
346,87,12
347,123,6
348,87,12
349,131,12
350,123,12
351,81,12
352,204,6
353,33,27
354,78,12
355,78,12
357,143,31
358,81,7
359,126,13
360,123,7
361,126,6
362,127,12
363,123,12
364,209,-3
365,188,6
366,42,27
367,87,12
368,87,12
369,123,6
370,87,12
371,131,12
372,123,12
373,203,3
374,137,12
375,195,-3
376,87,18
377,77,12
378,194,6
379,72,12
380,204,6
381,86,12
382,203,-3
383,195,-3
384,126,6
385,36,12
386,81,12
387,86,12
388,102,12
389,87,12
390,137,13
391,138,12
392,132,12
393,78,6
394,126,12
395,87,12
396,42,12
397,72,12
398,72,6
399,78,12
400,78,12
401,81,12
402,108,84
403,86,12
404,72,12
405,92,6
406,71,12
407,92,12
408,204,6
409,82,12
410,87,12
411,72,12
412,204,6
413,72,6
414,218,12
415,123,84
416,215,12
417,87,12
418,102,84
419,81,12
420,92,12
421,209,6
422,111,12
423,203,12
424,92,11
425,72,12
426,108,78
427,86,12
428,101,12
429,102,75
430,86,18
431,87,18
432,224,17
433,204,12
434,111,12
435,108,87
436,209,12
437,78,6
438,78,12
439,78,6
440,87,84
441,132,12
442,123,12
443,92,6
444,204,18
