Frame,tanxy_x,tanxy_y
1,292,2
2,253,-4
3,287,2
4,298,1
6,347,-13
7,247,23
8,230,3
9,236,8
10,248,11
11,251,11
12,223,3
13,218,11
14,313,-38
15,296,-4
16,262,8
17,253,-7
18,253,-13
19,272,-4
20,277,2
21,292,2
22,281,2
23,268,7
24,272,2
25,301,1
26,301,-7
27,292,1
28,292,1
29,277,-7
30,292,1
31,347,7
32,281,2
33,292,1
34,287,-7
35,292,-8
36,292,1
37,286,-2
38,298,1
39,292,1
40,286,22
41,313,1
42,298,1
43,307,2
44,292,-7
45,273,-28
46,242,8
47,281,7
48,287,7
49,296,1
50,272,7
51,307,-8
52,296,-8
53,307,1
54,266,22
56,328,-8
57,251,-8
58,272,-7
59,256,1
60,281,-8
61,286,-7
62,313,-8
63,312,-8
65,296,6
66,281,2
67,292,2
69,296,2
70,236,8
71,298,2
72,313,-7
73,313,1
74,324,1
75,298,7
76,272,1
77,313,-4
78,298,-7
79,306,-7
80,322,-7
81,292,-7
82,296,-13
83,263,1
84,253,2
85,283,1
86,311,7
87,287,1
88,174,-2
89,318,-8
90,292,1
91,233,1
92,242,-8
93,319,1
94,281,1
95,272,-8
96,283,1
97,298,2
98,272,1
102,292,-7
103,268,2
104,283,2
105,333,1
106,281,-7
107,277,17
108,298,2
109,277,2
110,281,-7
111,283,1
112,294,-7
113,289,1
114,328,2
115,269,1
116,289,1
117,287,1
119,313,-7
120,296,-13
121,293,-7
124,313,1
125,249,2
126,293,-7
127,313,-7
128,302,-7
130,304,-7
131,302,-8
132,309,-8
133,283,-8
134,289,7
136,304,-7
137,317,-8
138,332,-19
139,314,-7
140,292,1
141,337,-7
142,304,2
143,328,12
144,331,13
145,313,2
146,303,2
147,278,2
148,307,1
149,283,-8
150,283,-8
151,294,-7
152,298,1
153,318,-7
154,292,1
155,292,2
156,322,2
157,298,2
158,283,2
159,277,2
160,283,1
162,288,1
163,283,2
164,307,1
165,343,1
166,303,7
167,328,-7
168,358,8
169,318,1
170,298,2
171,376,31
172,318,1
173,298,7
174,298,2
175,307,8
176,298,2
177,303,2
178,319,-7
179,307,7
180,304,2
181,307,-7
182,292,1
183,277,1
184,337,-2
185,283,-7
186,298,-7
187,294,-7
188,278,-7
189,277,-7
190,287,1
191,277,-7
192,294,-7
193,283,-4
194,283,-7
195,279,1
196,289,1
197,337,-7
198,298,1
199,287,1
200,304,7
201,294,1
202,296,-7
203,253,-2
204,289,1
205,283,-7
206,287,2
207,263,8
208,266,6
209,304,8
210,244,2
211,267,2
212,292,-8
214,287,2
215,304,1
216,313,1
217,304,-7
218,289,1
219,283,1
220,278,1
221,283,-7
222,307,1
223,268,2
224,283,-7
225,292,-8
226,302,1
227,298,2
228,244,8
229,274,2
230,319,1
231,289,1
232,268,1
233,283,1
234,283,2
235,292,2
236,278,2
237,278,-7
238,322,8
239,278,-4
240,288,1
241,278,2
242,283,1
243,277,2
244,304,1
245,298,2
246,331,1
247,303,-7
248,253,2
249,287,7
250,272,1
251,283,2
252,277,-8
253,268,2
