Frame,tanxy_x,tanxy_y
1,277,7
2,311,7
3,331,13
4,283,-2
5,297,-3
6,317,-3
7,306,-3
8,168,-17
9,160,-19
10,243,-3
11,270,2
12,284,2
13,249,12
14,264,3
15,234,-3
16,291,-3
17,308,-3
18,291,-3
19,308,3
20,297,3
21,297,-2
22,302,-3
23,297,-3
24,288,-3
25,302,-3
26,282,-3
27,276,6
28,308,-3
29,277,-3
30,291,-3
31,323,-3
32,306,-3
33,297,-3
34,297,-3
35,308,-3
36,288,-3
37,306,3
38,317,-3
39,312,-3
40,298,-3
41,238,-2
42,244,-3
43,223,6
44,234,-3
45,214,-3
47,307,7
48,312,6
49,292,-3
50,301,-3
51,286,-3
52,292,-3
53,312,-3
54,297,3
55,303,-3
56,306,-3
57,313,7
59,327,7
60,288,-2
61,306,3
62,297,-2
63,303,-2
64,286,6
65,303,6
66,317,6
67,306,-3
68,311,-2
69,301,-2
70,306,6
71,288,-3
72,327,6
73,317,-3
74,303,-3
75,288,-3
76,312,-3
77,317,-8
78,306,-2
79,312,-2
80,306,-3
81,338,-3
82,286,-2
83,307,-3
84,306,-3
85,288,-3
86,307,-3
87,286,-3
88,286,6
89,297,-2
90,312,3
91,271,6
92,297,-3
93,292,3
94,288,-9
95,297,3
98,333,7
99,292,6
100,277,-3
101,283,6
102,301,6
103,316,6
104,303,-8
105,318,6
106,301,6
107,312,6
108,292,6
109,288,6
110,288,-3
111,303,3
112,277,-3
113,277,6
114,301,6
115,277,6
116,303,6
117,307,-3
118,312,-3
119,312,-3
120,312,-3
121,286,6
122,271,-2
123,292,-3
124,282,6
125,273,-3
126,286,3
127,321,6
128,301,-3
129,292,6
130,303,-2
131,303,-3
132,292,-3
133,298,3
134,312,-9
135,292,6
136,277,-3
137,271,12
138,303,6
139,301,6
140,291,3
141,277,-3
142,301,3
143,305,-3
144,297,-3
145,283,-3
146,288,-3
147,303,-3
148,273,3
149,312,6
150,286,3
151,301,3
152,307,-2
153,297,6
154,286,-3
155,301,-3
156,316,6
157,283,-3
158,286,-3
159,312,-3
160,297,3
161,287,3
162,312,6
163,277,-3
164,277,-3
165,303,6
166,292,6
167,292,6
168,318,-2
169,283,-3
170,298,-2
171,316,6
172,297,-3
173,306,-3
174,292,6
175,307,-3
176,301,3
177,286,-3
178,297,-3
179,281,-3
180,307,-3
181,292,-3
182,301,-3
183,292,-3
184,307,-2
185,283,-3
186,277,-3
187,301,6
188,283,-3
189,298,-3
190,301,1
192,292,1
193,303,7
194,283,7
195,297,-3
196,297,7
197,303,6
198,288,6
199,301,6
200,303,6
201,292,-2
202,283,6
203,303,6
204,301,6
205,307,3
206,301,-3
207,317,-3
208,288,-3
209,288,-3
210,297,6
211,306,6
212,286,-3
213,283,1
214,333,1
215,291,7
216,288,7
217,273,3
218,296,7
221,322,7
222,282,-2
223,277,7
224,265,1
225,288,7
226,277,6
227,271,-2
228,277,7
229,297,6
230,306,-3
231,298,-2
232,312,7
233,332,-2
234,303,7
235,297,-3
236,297,6
237,301,6
238,327,6
239,277,6
240,291,-2
241,292,-3
242,286,6
243,292,-3
244,292,-2
245,312,-3
246,312,-3
247,318,6
248,301,6
249,322,6
250,303,6
251,292,3
252,286,-3
253,327,6
254,298,3
255,298,-3
